"","Description","GeneRatio","geneID"
"GO:0042063","gliogenesis","57/684","CX3CR1/GPR17/MAG/SLC45A3/TREM2/FA2H/MYRF/P2RY12/GFAP/NKX6-2/CSF1R/HAPLN2/PLP1/CCL3/ERBB3/SOX10/CNTN2/CNP/GJC2/SH3TC2/BOK/NTN1/OLIG2/TAL1/C1QA/ITGB4/ZNF488/DAAM2/ABCA2/SOX8/DNER/KCNJ10/NKX2-2/SUN2/VCAN/SIRT2/CD9/CERS2/BIN1/NCAN/PTPRZ1/TGFB1/IFNGR1/BCAN/NAGLU/PSEN1/OLIG1/SOX11/APCDD1/DISC1/SOX1/TUBA1A/CRB1/NCSTN/LAMC3/SLC7A5/GRN"
"GO:0006935","chemotaxis","49/684","CX3CR1/TREM2/P2RY12/C3AR1/CSF1R/ENPP2/LSP1/ITGB2/CCL3/SYK/PLXNB3/DOCK2/PLD1/CMTM5/BIN2/GPNMB/NCKAP1L/PTAFR/PADI2/AIF1/CSF3R/SEMA4D/NTN1/CD74/DAPK2/MMP2/LGR6/ANOS1/ST6GAL1/RHOG/SEMA3B/CYP7B1/SPI1/GPSM3/GAB1/SEMA6A/PDGFRA/SEMA5A/TGFB1/IL17RA/MOSPD2/FCER1G/CXCL16/CMTM3/CORO1B/SEMA4C/PDGFB/SLC8B1/PDGFA"
"GO:0061900","glial cell activation","15/684","CX3CR1/TREM2/ITGB2/CCL3/PTPRC/AIF1/ITGAM/TYROBP/C1QA/IFNGR1/NAGLU/PSEN1/CTSC/ATM/GRN"
"GO:0001774","microglial cell activation","14/684","CX3CR1/TREM2/ITGB2/CCL3/PTPRC/AIF1/ITGAM/TYROBP/C1QA/IFNGR1/NAGLU/CTSC/ATM/GRN"
"GO:0007015","actin filament organization","44/684","TF/SCIN/NCKAP1L/AIF1/USH1C/SHROOM4/MYO1F/CDC42EP1/TGFBR1/RHOG/DPYSL3/ELN/HCLS1/DAAM2/WIPF1/MYO1D/LCP1/S100A10/SEMA5A/PROX1/GSN/RND2/MARCKSL1/BIN1/ZBED3/CYFIP1/CAPG/HIP1R/LIMA1/COTL1/FHOD1/KIRREL1/HIP1/CORO1B/FAT1/SH3BP1/ARAP1/FCHSD2/MTSS1/SSH3/ITGB5/CORO1C/CORO7/FSCN1"
"GO:0006911","phagocytosis, engulfment","13/684","C3/TREM2/ITGB2/BIN2/NCKAP1L/FCGR1A/AIF1/ITGAM/GSN/MEGF10/ABCA1/SH3BP1/XKR8"
"GO:0002764","immune response-regulating signaling pathway","44/684","MOG/CD22/TREM2/C3AR1/LILRB4/SYK/ICOSLG/RNF125/NCKAP1L/FCGR3A/FCGR1A/LAPTM5/PTPRC/HAVCR2/PTPN6/TYROBP/BTN3A2/HLA-DRB1/LAT2/INPP5D/CD24/FYB1/CD38/NAIP/SIRT2/LIPA/NAGLU/FCER1G/PSEN1/NLRP1/BTN3A1/SHB/NLRP3/UNC93B1/CYBA/CMTM3/CAV1/STING1/IRAK4/CARD8/BTN3A3/LCP2/ERMAP/CD276"
"GO:0070661","leukocyte proliferation","35/684","CD22/TREM2/CSF1R/LILRB4/CSF2RA/DOCK8/SYK/ICOSLG/DOCK2/LST1/GPNMB/NCKAP1L/FCGR3A/PTPRC/AIF1/HAVCR2/PTPN6/TYROBP/CD74/HLA-DRB1/ST6GAL1/HLA-DMB/INPP5D/CD24/CD38/LIPA/AHR/BTN3A1/SHB/SOX11/SLC4A2/ATM/NCSTN/CASP3/CD276"
"GO:0098883","synapse pruning","7/684","CX3CR1/C3/TREM2/C1QC/ITGAM/C1QA/C1QB"
"GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","10/684","HLA-DRB5/TREM2/HLA-DRA/CD74/HLA-DRB1/HLA-DMA/HLA-DMB/FCER1G/UNC93B1/MARCHF8"
