"gene","SYMBOL","log2FoldChange","pvalue","padj"
"ENSG00000101327","PDYN",4.1498,1.23273087916008e-07,2e-04
"ENSG00000198502","HLA-DRB5",3.3204,0.0119884761768454,0.0993
"ENSG00000187775","DNAH17",3.1141,0.000302540391853117,0.0253
"ENSG00000274276","LOC102724560",3.1064,0.0193072482604492,0.0993
"ENSG00000168329","CX3CR1",3.0136,1.57391666812975e-05,0.0042
"ENSG00000125730","C3",2.9871,3.71875070283564e-08,1e-04
"ENSG00000091513","TF",2.966,9.22139379398214e-05,0.0132
"ENSG00000171659","GPR34",2.9272,1.15591873989485e-05,0.0036
"ENSG00000169562","GJB1",2.9256,0.000321669941273731,0.0262
"ENSG00000174607","UGT8",2.9239,3.86846007059284e-05,0.0071
"ENSG00000144230","GPR17",2.9104,4.8067805986018e-09,0
"ENSG00000158865","SLC5A11",2.8967,0.00105172135010597,0.0527
"ENSG00000147256","ARHGAP36",2.8835,0.000428758807869373,0.0307
"ENSG00000105695","MAG",2.8574,0.000408767144039161,0.0301
"ENSG00000213186","TRIM59",2.8327,0.000281411634165104,0.0243
"ENSG00000204278","TMEM235",2.8314,0.00101734320365781,0.0519
"ENSG00000167755","KLK6",2.8224,0.00388641455785226,0.0993
"ENSG00000204655","MOG",2.8193,0.000201010310001071,0.0203
"ENSG00000172508","CARNS1",2.8111,0.000565398313030008,0.0365
"ENSG00000126860","EVI2A",2.7872,8.54628857971991e-06,0.0034
"ENSG00000158715","SLC45A3",2.7547,0.000567315631824485,0.0365
"ENSG00000012124","CD22",2.7293,0.00246228454013809,0.082
"ENSG00000095970","TREM2",2.6713,2.56950983305963e-06,0.0013
"ENSG00000103089","FA2H",2.6496,0.000821759132254377,0.0458
"ENSG00000041982","TNC",2.6364,9.13503231298937e-07,8e-04
"ENSG00000205116","TMEM88B",2.5751,0.000679043531376287,0.0416
"ENSG00000124920","MYRF",2.5716,0.00131907307508207,0.0598
"ENSG00000180929","GPR62",2.5475,0.00052720677022889,0.0346
"ENSG00000179178","TMEM125",2.5336,7.66440364230513e-05,0.0115
"ENSG00000183160","TMEM119",2.5318,4.32776547770709e-09,0
"ENSG00000147488","ST18",2.5288,0.000730531300919576,0.0431
"ENSG00000281106","TMEM272",2.5254,0.000130017927180391,0.0159
"ENSG00000196187","TMEM63A",2.5228,0.000109926490421633,0.0146
"ENSG00000134817","APLNR",2.5078,3.69733950792683e-05,0.0069
"ENSG00000110876","SELPLG",2.474,1.91689612238513e-06,0.0011
"ENSG00000166428","PLD4",2.4692,2.6394418751789e-05,0.0055
"ENSG00000259070","LINC00639",2.4682,0.000275584593959162,0.0241
"ENSG00000011426","ANLN",2.3635,0.00253371376411612,0.0824
"ENSG00000086205","FOLH1",2.353,0.00318494612196405,0.0935
"ENSG00000175785","PRIMA1",2.3479,0.0035180248452594,0.0993
"ENSG00000169313","P2RY12",2.3331,0.00219068041182303,0.0782
"ENSG00000131095","GFAP",2.3107,4.16925066669731e-05,0.0076
"ENSG00000077420","APBB1IP",2.3021,5.53436177357112e-07,5e-04
"ENSG00000105366","SIGLEC8",2.3012,0.000216803170943834,0.0212
"ENSG00000122367","LDB3",2.2837,0.00079503495411449,0.045
"ENSG00000167641","PPP1R14A",2.2825,0.000179896288468528,0.0195
"ENSG00000173391","OLR1",2.2651,4.60489847327387e-05,0.0079
"ENSG00000166682","TMPRSS5",2.2636,0.000161625067819871,0.0184
"ENSG00000054690","PLEKHH1",2.2623,0.00214235682158807,0.0781
"ENSG00000013297","CLDN11",2.2574,0.00224956191680592,0.0784
"ENSG00000171860","C3AR1",2.2526,2.72603627541767e-05,0.0056
