function_id,gene_id
GO:0042063,CX3CR1
GO:0042063,GPR17
GO:0042063,MAG
GO:0042063,SLC45A3
GO:0042063,TREM2
GO:0042063,FA2H
GO:0042063,MYRF
GO:0042063,P2RY12
GO:0042063,GFAP
GO:0042063,NKX6-2
GO:0042063,CSF1R
GO:0042063,HAPLN2
GO:0042063,PLP1
GO:0042063,CCL3
GO:0042063,ERBB3
GO:0042063,SOX10
GO:0042063,CNTN2
GO:0042063,CNP
GO:0042063,GJC2
GO:0042063,SH3TC2
GO:0042063,BOK
GO:0042063,NTN1
GO:0042063,OLIG2
GO:0042063,TAL1
GO:0042063,C1QA
GO:0042063,ITGB4
GO:0042063,ZNF488
GO:0042063,DAAM2
GO:0042063,ABCA2
GO:0042063,SOX8
GO:0042063,DNER
GO:0042063,KCNJ10
GO:0042063,NKX2-2
GO:0042063,SUN2
GO:0042063,VCAN
GO:0042063,SIRT2
GO:0042063,CD9
GO:0042063,CERS2
GO:0042063,BIN1
GO:0042063,NCAN
GO:0042063,PTPRZ1
GO:0042063,TGFB1
GO:0042063,IFNGR1
GO:0042063,BCAN
GO:0042063,NAGLU
GO:0042063,PSEN1
GO:0042063,OLIG1
GO:0042063,SOX11
GO:0042063,APCDD1
GO:0042063,DISC1
GO:0042063,SOX1
GO:0042063,TUBA1A
GO:0042063,CRB1
GO:0042063,NCSTN
GO:0042063,LAMC3
GO:0042063,SLC7A5
GO:0042063,GRN
GO:0006935,CX3CR1
GO:0006935,TREM2
GO:0006935,P2RY12
GO:0006935,C3AR1
GO:0006935,CSF1R
GO:0006935,ENPP2
GO:0006935,LSP1
GO:0006935,ITGB2
GO:0006935,CCL3
GO:0006935,SYK
GO:0006935,PLXNB3
GO:0006935,DOCK2
GO:0006935,PLD1
GO:0006935,CMTM5
GO:0006935,BIN2
GO:0006935,GPNMB
GO:0006935,NCKAP1L
GO:0006935,PTAFR
GO:0006935,PADI2
GO:0006935,AIF1
GO:0006935,CSF3R
GO:0006935,SEMA4D
GO:0006935,NTN1
GO:0006935,CD74
GO:0006935,DAPK2
GO:0006935,MMP2
GO:0006935,LGR6
