"gene1","gene2","statistic","pvalue","SYMBOL1","SYMBOL2"
"ENSG00000002586","ENSG00000042493",0.901105493052654,2.61293823230744e-05,"CD99","CAPG"
"ENSG00000002586","ENSG00000102032",0.852554516740832,0.000213311855314088,"CD99","RENBP"
"ENSG00000002586","ENSG00000187091",0.888847695513209,4.84921754925554e-05,"CD99","PLCD1"
"ENSG00000004468","ENSG00000041982",0.859658946829442,0.000164920891408095,"CD38","TNC"
"ENSG00000004468","ENSG00000099194",0.886578112535658,5.39500143336433e-05,"CD38","SCD"
"ENSG00000004468","ENSG00000134716",0.867537933365685,0.000121937681784524,"CD38","CYP2J2"
"ENSG00000004468","ENSG00000134824",0.8797485096115,7.34080504221697e-05,"CD38","FADS2"
"ENSG00000004468","ENSG00000160191",0.892394940107968,4.08565549243335e-05,"CD38","PDE9A"
"ENSG00000004468","ENSG00000164776",0.898894532515965,2.93792997985981e-05,"CD38","PHKG1"
"ENSG00000004468","ENSG00000166912",0.865525945867616,0.000131944948847432,"CD38","MTMR10"
"ENSG00000004468","ENSG00000171388",0.931416734600488,3.70493362355014e-06,"CD38","APLN"
"ENSG00000004468","ENSG00000171885",0.866011414244009,0.000129472393579139,"CD38","AQP4"
"ENSG00000004468","ENSG00000188549",0.891731051914368,4.22066380223342e-05,"CD38","CCDC9B"
"ENSG00000004468","ENSG00000196743",0.86009855620786,0.000162242971369566,"CD38","GM2A"
"ENSG00000004864","ENSG00000005893",0.93707004620947,2.33395419388906e-06,"SLC25A13","LAMP2"
"ENSG00000004864","ENSG00000011426",0.861141535874896,0.000156028139119561,"SLC25A13","ANLN"
"ENSG00000004864","ENSG00000012124",0.871320060165711,0.000104769921128108,"SLC25A13","CD22"
"ENSG00000004864","ENSG00000012983",0.89660419591606,3.3080770845869e-05,"SLC25A13","MAP4K5"
"ENSG00000004864","ENSG00000019144",0.855959674777717,0.000188880359802866,"SLC25A13","PHLDB1"
"ENSG00000004864","ENSG00000035664",0.949271963063258,7.30392101488262e-07,"SLC25A13","DAPK2"
"ENSG00000004864","ENSG00000054690",0.871639164766274,0.000103414977802703,"SLC25A13","PLEKHH1"
"ENSG00000004864","ENSG00000065361",0.883134387663465,6.31620898652822e-05,"SLC25A13","ERBB3"
