"","Description","GeneRatio","geneID"
"GO:0035579","specific granule membrane","9/197","TMEM63A/OLR1/C3AR1/ITGB2/ITGAL/CD53/PLD1/CYBB/ITGAM"
"GO:0042581","specific granule","11/197","LTF/TMEM63A/OLR1/C3AR1/ITGB2/ITGAL/DOCK2/CD53/PLD1/CYBB/ITGAM"
"GO:0070821","tertiary granule membrane","8/197","TMEM63A/OLR1/ITGB2/CD53/PLD1/CYBB/PTAFR/ITGAM"
"GO:0009897","external side of plasma membrane","15/197","SERPINA5/CLEC17A/FCER2/CX3CR1/MOG/SDC1/PCSK9/CD84/GPIHBP1/CSF2RA/ITGB2/ITGAL/ICOSLG/SCUBE1/ITGAM"
"GO:0016324","apical plasma membrane","15/197","SLC47A2/TF/SLC5A11/TMEM235/ACY3/CLCA4/CYP4F12/ABCB4/GPIHBP1/ERBB3/SLC6A9/PLD1/KCNQ1/PTPRH/ASPM"
"GO:0045121","membrane raft","12/197","MAG/TREM2/SELPLG/PLVAP/OLR1/ABCB4/ITGB2/KCNQ1/TLR1/TLR6/LIPE/ITGAM"
"GO:0098857","membrane microdomain","12/197","MAG/TREM2/SELPLG/PLVAP/OLR1/ABCB4/ITGB2/KCNQ1/TLR1/TLR6/LIPE/ITGAM"
"GO:0045177","apical part of cell","15/197","SLC47A2/TF/SLC5A11/TMEM235/ACY3/CLCA4/CYP4F12/ABCB4/GPIHBP1/ERBB3/SLC6A9/PLD1/KCNQ1/PTPRH/ASPM"
"GO:0098802","plasma membrane signaling receptor complex","11/197","TF/APBB1IP/TMIGD2/CSF2RA/ITGB2/ITGAL/SYK/ERBB3/TLR1/TLR6/ITGAM"
"GO:0045335","phagocytic vesicle","7/197","LTF/PLD4/SYK/MPEG1/TLR1/CYBB/TLR6"
"GO:0044853","plasma membrane raft","6/197","TREM2/SELPLG/PLVAP/ITGB2/LIPE/ITGAM"
"GO:0005581","collagen trimer","5/197","CCBE1/GLDN/COL4A5/C1QC/COL8A2"
"GO:0098636","protein complex involved in cell adhesion","4/197","TNC/ITGB2/ITGAL/ITGAM"
