gene1,gene2,statistic,pvalue
ABCB4,ADAM28,0.8601800498800837,0.0001617503778285
ABCB4,APBB1IP,0.8650858310694708,0.0001342189570352
ABCB4,C3,0.9015825336806672,2.5467669797370845e-05
ABCB4,C3AR1,0.8811080649912753,6.91452899884389e-05
ABCB4,CD53,0.8705230880236937,0.0001082159845427
ABCB4,CSF1R,0.8933627130877853,3.895081080613503e-05
ABCB4,CSF2RA,0.8679239158277312,0.0001200891542201
ABCB4,CX3CR1,0.9464709502201712,9.762716174731697e-07
ABCB4,DHRS9,0.867379764398049,0.0001227017095764
ABCB4,F2RL1,0.8611432859234124,0.0001560178731222
ABCB4,GAL3ST4,0.8600515228167553,0.0001625278115931
ABCB4,GPR17,0.8698989383150904,0.0001109775274345
ABCB4,GPR34,0.9064710602231186,1.943087698760504e-05
ABCB4,ITGAM,0.8788853283382337,7.622191141125928e-05
ABCB4,ITGB2,0.8548570927719508,0.0001965332522932
ABCB4,LILRB4,0.8872430848299341,5.230234146485588e-05
ABCB4,LOC729654,0.859694565998843,0.0001647026107813
ABCB4,LPAR5,0.8638557456667756,0.0001407409788397
ABCB4,LPCAT2,0.8623702820916261,0.0001489515821933
ABCB4,LY86,0.9226820954087442,7.0418998196550535e-06
ABCB4,P2RY12,0.8979487414188937,3.08651280814681e-05
ABCB4,P2RY13,0.9477163889738576,8.597855212854251e-07
ABCB4,PLD4,0.8812616233217742,6.867656486676785e-05
ABCB4,PLVAP,0.8529349446292583,0.0002104638397981
ABCB4,PTGS1,0.912061802594004,1.3997676432013096e-05
ABCB4,SELPLG,0.9308136286944604,3.88312456448411e-06
ABCB4,SMIM35,0.8743006143486114,9.265106294781702e-05
ABCB4,SUSD3,0.9118378728868942,1.4188583859323788e-05
ABCB4,TLR1,0.870580480910724,0.0001079648342009
ABCB4,TLR6,0.8671578373480286,0.0001237801590406
ABCB4,TMEM119,0.8675529821225699,0.0001218651879055
ABCB4,TREM2,0.8612953565914446,0.0001551278633223
ACP7,CARNS1,0.906315271438369,1.9603523001039515e-05
ACP7,CDK18,0.912570740285642,1.3571482829742463e-05
ACP7,CNTN2,0.8841277639574431,6.038455975126868e-05
ACP7,DNAH17,0.8500823426913854,0.0002325757366883
ACP7,ENPP2,0.8695752862300237,0.0001124315295076
ACP7,FA2H,0.8976184895053679,3.1397947312119046e-05
ACP7,FFAR1,0.8571378702033383,0.0001809670123658
ACP7,GIPR,0.8899508850840923,4.600434178573287e-05
ACP7,GJB1,0.9164503814380096,1.0654340595383125e-05
ACP7,GPR62,0.8889586737019907,4.823712961777144e-05
ACP7,ICOSLG,0.8755522056965969,8.790929659170603e-05
ACP7,KLK6,0.9149194376996224,1.173790447973112e-05
ACP7,LIPE,0.8527588062136942,0.0002117786847124
ACP7,LOC102723996,0.8755522056965969,8.790929659170603e-05
ACP7,MYRF,0.8954470905481213,3.5088244680649026e-05
ACP7,NINJ2,0.8977363166659386,3.1207006833100113e-05
ACP7,NIPAL4,0.8940703337430175,3.76030769681424e-05
ACP7,SLC45A3,0.9142112283687346,1.2268334391764446e-05
ACP7,SLC5A11,0.9419498754589176,1.5115591462915463e-06
ACP7,SMIM5,0.8686388050597013,0.0001167245960769
ACP7,TF,0.8892671911937572,4.753375628283125e-05
ACP7,TMEM235,0.9405475147746604,1.7189230970651455e-06
ACP7,TRIM59,0.8944005399328461,3.698711946031559e-05
ACY3,ADAM28,0.8572978208309499,0.0001799133989753
ACY3,CFAP95,0.8637654481422207,0.0001412295281501
ACY3,CSF2RA,0.8836309402780448,6.176119108253324e-05
ACY3,DHRS9,0.9460682608425912,1.0165589236417597e-06
ACY3,GPD1,0.8686967862182631,0.0001164550509525
ACY3,NSUN7,0.8867499468481906,5.352030924226048e-05
ACY3,OLR1,0.897586461963823,3.145001032449422e-05
ACY3,PARP15,0.9201244174353465,8.380034216904996e-06
ACY3,PLD4,0.8737043530798958,9.498084934523136e-05
ACY3,TREM2,0.8683763876840566,0.0001179507724851
ACY3,TREML1,0.875035913080313,8.984119313551779e-05
ADAD2,CIMIP2B,0.8856235987135189,5.6387617036115806e-05
ADAD2,EVI2B,0.8647843742619563,0.0001357945127695
ADAD2,FCER2,0.8589549204855826,0.000169282847254
ADAD2,PDYN,0.8835889694280769,6.187862890663606e-05
ADAD2,SCN7A,0.8675828571269607,0.0001217213740404
ADAD2,SMIM35,0.8618362124996867,0.0001519952059109
ADAM28,ADORA3,0.8890752798174552,4.797031047225051e-05
ADAM28,APBB1IP,0.906151035327934,1.978686541221436e-05
ADAM28,BIN2,0.9008343891331624,2.6511553106570785e-05
ADAM28,BLNK,0.8566007369813646,0.0001845412081714
ADAM28,C3,0.9001997222464401,2.7423831220868935e-05
ADAM28,C3AR1,0.8802212829870172,7.19025098742552e-05
ADAM28,CD37,0.903297121460928,2.3199677328667287e-05
ADAM28,CD53,0.8674762713375938,0.0001222350840459
ADAM28,CD84,0.8854944524029846,5.6724097153270605e-05
ADAM28,COL8A2,0.8580539899591708,0.0001749984083982
ADAM28,CSF2RA,0.922880768920686,6.945660247816216e-06
ADAM28,CX3CR1,0.8581666215171357,0.0001742755714758
ADAM28,DHRS9,0.8807476847850128,7.025539171302548e-05
