name,log2FoldChange,pvalue,padj
ABCB4,2.1383,0.000231218621277514,0.0167
ACP7,2.3748,0.00189523566672284,0.0586
ACY3,2.6126,3.39157934250076e-07,"0,0003"
ADAD2,2.0425,0.00103293398937556,0.0399
ADAM28,1.9679,2.14430590516626e-05,0.0035
ADORA3,1.9289,0.00103577477408634,0.0399
APBB1IP,2.2477,6.58783873281266e-07,"0,0004"
APLNR,2.4244,4.26875345724619e-05,0.0056
AQP3,2.8735,3.35912475885389e-06,0.0012
ARHGAP36,2.8408,0.00101378200835835,0.0395
ARRDC4,2.1075,3.43778164034393e-08,"0,0001"
ASPM,1.5991,0.00538802483963594,0.0977
ATP1B4,4.1967,0.00194139743991438,0.0595
B3GNT5,1.5877,9.85756054780948e-06,0.0022
BIN2,1769,0.00301421842728827,0.0738
BLNK,1.6759,0.00272872200216853,0.0691
BTBD16,3.1728,0.000990758211828292,0.0391
C10orf90,1.8267,0.00392739876231847,0.0839
C1QC,1.6863,0.00172399851570751,0.0551
C21orf62,2.95,1.1322454119641e-06,"0,0006"
C21orf91,1.6995,0.00319466607127216,0.0759
C3,2.9629,1.96956474287624e-08,"0,0001"
C3AR1,2.2153,1.80076970220354e-05,0.0033
CARNS1,2.6793,0.00196306580316816,0.0596
CCBE1,1.9265,2.8780242055638e-05,0.0043
CD300C,2.0199,0.00203912594815384,0.0605
CD37,1837,3.17554343552614e-05,0.0046
CD53,1.7943,1.72793109306504e-05,0.0033
CD84,2.1683,7.15890604668256e-08,"0,0001"
CDK18,1.7182,0.00358974498098169,0.0812
CEDORA,3.3233,2.22383382256893e-05,0.0036
CFAP95,2.8909,0.000415896584054202,0.0237
CFI,1.7512,0.000929391575842061,0.0379
CIMIP2B,2.5825,0.00108443802888858,0.0407
CLCA4,2.6079,0.00156806124165555,0.0525
CLEC17A,3.7565,1.11657797719094e-06,"0,0006"
CLEC19A,2.3508,0.000100572965459379,0.0099
CMTM5,1.7293,0.00231854512688062,0.0642
CNTN2,1.7041,0.00399026514745803,0.0839
COL4A5,1.7312,0.00468397312552177,0.0908
COL8A2,1.6544,6.4428889857994e-06,0.0017
CSF1R,2.1848,6.31917762488523e-08,"0,0001"
CSF2RA,2.0657,2.5285663284886e-05,0.0039
CTB-1I21.1,2.6207,0.000635254836526955,0.03
CX3CR1,3.0171,4.97379198126916e-06,0.0015
CYBB,1.6871,0.000953997544394378,0.0385
CYP4F12,2.4603,0.00232420171857958,0.0642
DEPDC7,2.1083,0.000128088192655271,0.0116
DHRS9,2.8339,1.00081811770785e-07,"0,0001"
DLX3,2.7063,0.00503147685723206,0.0946
DMRTA2,2.2716,0.000973047408345915,0.0389
DNAH17,3.0033,0.00101202078311703,0.0395
DOCK10,1.6742,0.000436713549633944,24
DOCK2,1.9124,1.04688129342199e-05,0.0022
DOCK8,2.0274,1.09131990927326e-07,"0,0001"
ENPP2,2.0528,0.00530440632254776,0.0968
ERBB3,1.8673,0.00160346814744449,53
EVI2A,2.6676,8.31754739382193e-06,0.0021
EVI2B,2.3585,1.56471061833905e-06,"0,0007"
F2RL1,2.1407,9.78237160621424e-05,0.0098
FA2H,2.5334,0.00230107718653691,0.0641
FCER2,3.3496,0.00018140111707458,0.0147
FCRLA,2.7051,0.000578435314748116,0.0286
FFAR1,2.79,0.0049333998891137,0.0934
FRMD4B,1619,0.00112978200930427,0.0415
GAL3ST1,1.7189,0.000867590187363471,36
GAL3ST4,1.7766,2.20436416587013e-06,"0,0009"
GFAP,2.2312,5.71637725628174e-05,0.0066
GHRL,1.7095,0.00449111558309604,0.0892
GIPR,2608,0.00128580440214623,0.0455
GJB1,2.8216,0.00098930160149288,0.0391
GLDN,1.8444,0.00300383581175613,0.0738
GPD1,2.0107,2.28204694501349e-06,"0,0009"
GPIHBP1,2.0783,0.00248969810252459,0.0661
GPNMB,1.7092,0.00232022741881567,0.0642
GPR17,2.8164,4.70349434951565e-09,0
GPR34,2.9003,5.47259768080505e-06,0.0016
GPR62,2.4322,0.000587425811389152,0.0288
HAAO,1.6151,0.000235488949188613,0.0169
HAGLR,2.4333,0.00286356235522143,0.0713
HBG2,3.2099,0.00448687916103451,0.0892
