#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A2M	MMP2	9606.ENSP00000323929	9606.ENSP00000219070	0	0	0	0	0.113	0.600	0.500	0.768	0.953
A2M	TGFB1	9606.ENSP00000323929	9606.ENSP00000221930	0	0	0	0	0	0.045	0	0.910	0.910
A2M	C3	9606.ENSP00000323929	9606.ENSP00000245907	0	0	0	0.613	0.150	0	0	0.331	0.407
A2M	TIMP2	9606.ENSP00000323929	9606.ENSP00000262768	0	0	0	0	0.097	0	0	0.433	0.466
A2M	LGALS3BP	9606.ENSP00000323929	9606.ENSP00000262776	0	0	0	0	0.062	0.123	0	0.512	0.563
A2M	MASP1	9606.ENSP00000323929	9606.ENSP00000296280	0	0	0	0	0.088	0.127	0	0.351	0.438
A2M	SCIN	9606.ENSP00000323929	9606.ENSP00000297029	0	0	0	0	0.042	0	0	0.422	0.422
A2M	BACE1	9606.ENSP00000323929	9606.ENSP00000318585	0	0	0	0	0.070	0	0	0.566	0.579
A2M	LDLRAD3	9606.ENSP00000323929	9606.ENSP00000318607	0	0	0	0	0	0.066	0	0.429	0.443
A2M	ELN	9606.ENSP00000323929	9606.ENSP00000351807	0	0	0	0	0.080	0	0	0.376	0.401
A2M	AIF1	9606.ENSP00000323929	9606.ENSP00000365227	0	0	0	0	0.072	0	0	0.403	0.423
A2M	GJB1	9606.ENSP00000323929	9606.ENSP00000354900	0	0	0	0	0.129	0	0	0.376	0.433
A2M	ABCA2	9606.ENSP00000323929	9606.ENSP00000344155	0	0	0	0	0.067	0.095	0	0.394	0.443
A2M	GSN	9606.ENSP00000323929	9606.ENSP00000362924	0	0	0	0	0.138	0	0	0.442	0.498
A2M	C4A	9606.ENSP00000323929	9606.ENSP00000396688	0	0	0	0.605	0.142	0	0	0.475	0.530
A2M	FCGBP	9606.ENSP00000323929	9606.ENSP00000481056	0	0	0	0	0.084	0.422	0	0.206	0.543
